Pop17,Children,Seniors,White,Hispanic,Nonwhite,Poverty,SNAP,Disability,Renter,HousingCost,OHP,blockgroup
1396,115,160,1342,20,54,261,277.2,91,774.4,147.4,465,410030001001
1836,470,17,1039,695,797,441,519.48,228,1649.46,777,516,410030001002
1685,275,160,1392,89,293,297,206.7,109,575.05,498.2,263,410030001003
3099,645,315,2632,147,467,580,233.16,193,1214.04,1080.04,320,410030001004
1631,442,183,1366,23,265,49,0,147,217.36,397.54,38,410030002021
3343,383,871,2546,113,797,542,0,449,1610,1340,199,410030002022
2021,338,347,1753,181,268,360,365.5,127,1053.5,1027.7,224,410030004001
2734,612,506,2182,19,552,181,191.73,190,537.84,557.76,160,410030004002
1766,280,222,1300,118,466,303,298.89,178,818.91,746.01,146,410030004003
1185,181,381,1098,21,87,25,82.8,218,98.9,149.5,143,410030004004
993,160,277,802,119,191,27,26.04,117,312.48,197.47,34,410030005001
1550,324,478,1317,29,233,171,121.9,189,98.05,376.3,109,410030005002
875,146,287,809,22,66,109,100.28,96,130.8,292.12,84,410030005003
1682,470,229,1241,311,441,512,665.86,238,1150.48,1055.92,687,410030006001
1009,148,214,838,143,171,170,97.18,126,180.8,185.32,307,410030006002
1415,120,466,1168,105,247,101,142.4,185,653.26,452.12,99,410030006003
1219,404,123,1092,0,127,37,0,40,225.36,206.58,24,410030009001
738,57,132,641,81,97,354,0,112,372.32,330.72,18,410030009002
2129,401,273,1664,138,465,632,285.09,105,1301.69,791.18,263,410030009003
718,28,231,642,0,76,44,0,49,29.26,89.87,0,410030009004
710,52,145,648,0,62,68,0,95,125.4,182.4,0,410030009005
941,96,209,755,25,186,162,168.56,105,364.56,243.04,91,410030010011
1630,390,134,1051,303,579,574,549.7,160,1561.7,949.9,540,410030010012
1507,389,140,836,525,671,433,260.3,136,876.8,706.92,289,410030010013
863,67,76,693,38,170,428,90.3,72,554.7,441.18,147,410030010021
1375,220,176,1232,47,143,267,191.52,93,743.28,661.2,258,410030010022
885,120,113,684,32,201,86,37.6,40,310.2,204.45,63,410030010023
1284,79,36,1064,45,220,891,306.24,59,992.09,612.48,233,410030011011
1058,12,66,766,97,292,640,162,34,915.3,682.02,131,410030011012
758,29,27,539,71,219,239,0,55,416.5,267.05,41,410030011013
880,38,26,551,52,329,243,18.18,8,336.33,248.46,54,410030011014
973,166,95,847,24,126,314,193.39,75,519.59,545.22,105,410030011021
1786,70,56,1345,206,441,888,401.36,54,1456.96,928,284,410030011022
1256,54,75,1033,44,223,646,40.04,60,729.3,503.36,145,410030011023
892,12,0,686,38,206,392,81.09,49,564.45,491.31,24,410030011024
785,173,237,767,0,18,0,0,117,92.73,300.67,27,410030101001
2099,544,295,1907,155,192,98,39.76,203,73.84,252.76,269,410030101002
2722,710,438,2456,50,266,78,92.48,165,234.09,612.68,38,410030101003
1623,336,474,1558,54,65,89,52.32,167,189.66,584.24,144,410030101004
1791,408,455,1401,171,390,112,158.12,139,0,356.44,277,410030101005
2152,567,271,1937,56,215,226,160.6,200,692.04,560.64,278,410030102001
1050,205,220,977,9,73,19,0,85,90.36,168.17,44,410030102002
1167,198,234,1078,23,89,149,265.65,180,260.59,437.69,212,410030102003
1296,233,279,1151,41,145,84,28.05,143,188.7,272.85,138,410030103001
1261,316,260,1204,51,57,165,132,143,222.75,192.5,173,410030103002
909,184,137,759,127,150,94,176.66,105,176.66,249.26,108,410030103003
614,155,140,607,5,7,11,0,79,137.94,116.16,55,410030104001
597,143,126,597,0,0,0,0,79,113.42,145.52,25,410030104002
2756,697,455,2170,478,586,376,356.58,337,795.23,766.93,427,410030104003
1390,73,200,1223,2,167,382,315.56,159,993.37,605.36,302,410030106001
845,0,32,724,54,121,399,51.9,80,581.28,280.26,79,410030106002
1046,63,19,613,40,433,770,58.59,29,945,506.52,16,410030106003
2000,7,0,1357,243,643,117,91,0,117.25,31.5,181,410030106004
978,159,157,772,17,206,227,148.5,76,654.75,369,45,410030107021
1697,20,0,1155,209,542,0,0,0,0,0,73,410030107022
1267,34,32,851,59,416,735,176.4,64,1178.45,916.3,148,410030107023
711,158,88,524,88,187,185,177.92,46,305.8,286.34,173,410030108001
1040,249,184,908,47,132,231,296.4,126,364,442,201,410030108002
1749,438,184,1396,270,353,216,362.6,181,663.04,603.47,323,410030108003
2147,357,447,2005,52,142,278,107.52,169,221.76,544.32,122,410030109001
2735,544,308,2054,85,681,611,153.6,148,1200.64,857.6,234,410030109002
